Time,Age Group,Percentage
2015,65+,0.180559905
2016,0-14,0.145115219
2016,15-64,0.67050212
2016,65+,0.184382661
2017,0-14,0.145355813
2017,15-64,0.666846693
2017,65+,0.187797494
2018,0-14,0.14546524
2018,15-64,0.66324243
2018,65+,0.191292329
2019,0-14,0.14549617
2019,15-64,0.6584746
2019,65+,0.19602923
2020,0-14,0.145576628
2020,15-64,0.653516634
2020,65+,0.200906738
2021,0-14,0.145652701
2021,15-64,0.650297164
2021,65+,0.204050135
2022,0-14,0.145505891
2022,15-64,0.648418516
2022,65+,0.206075593
2023,0-14,0.144854569
2023,15-64,0.646954588
2023,65+,0.208190843
