Entity,Code,Year,United Kingdom
Mail (units handled),,1947,7600000000
Mail (units handled),,1948,8050000000
Mail (units handled),,1949,8350000000
Mail (units handled),,1950,8500000000
Mail (units handled),,1951,8750000000
Mail (units handled),,1952,8800000000
Mail (units handled),,1953,9100000000
Mail (units handled),,1954,9500000000
Mail (units handled),,1955,9700000000
Mail (units handled),,1956,9700000000
Mail (units handled),,1957,9600000000
Mail (units handled),,1958,9700000000
Mail (units handled),,1959,10200000000
Mail (units handled),,1960,10600000000
Mail (units handled),,1961,10500000000
Mail (units handled),,1962,10600000000
Mail (units handled),,1963,11000000000
Mail (units handled),,1964,11200000000
Mail (units handled),,1965,11300000000
Mail (units handled),,1966,11400000000
Mail (units handled),,1967,11500000000
Mail (units handled),,1968,11300000000
Mail (units handled),,1969,11400000000
Mail (units handled),,1970,10500000000
Mail (units handled),,1971,10550000000
Mail (units handled),,1972,10790000000
Mail (units handled),,1973,11010000000
Mail (units handled),,1974,10878000000
Mail (units handled),,1975,9903000000
Mail (units handled),,1976,9383000000
Mail (units handled),,1977,9485000000
Mail (units handled),,1978,9965000000
Mail (units handled),,1979,10207000000
Mail (units handled),,1980,10071000000
Mail (units handled),,1981,9985000000
Mail (units handled),,1982,10255000000
Mail (units handled),,1983,10665000000
Mail (units handled),,1984,11439000000
Mail (units handled),,1985,11721000000
Mail (units handled),,1986,12535000000
Mail (units handled),,1987,13568000000
Mail (units handled),,1988,13741000000
Mail (units handled),,1989,15293000000
Mail (units handled),,1990,15902000000
Mail (units handled),,1991,16038000000
Mail (units handled),,1992,16364000000
Mail (units handled),,1993,16651000000
Mobile phones,,1985,50075.09
Mobile phones,,1986,130119
Mobile phones,,1987,290555.5
Mobile phones,,1988,559588.8
Mobile phones,,1989,974286.6
Mobile phones,,1990,1109248.4
Mobile phones,,1991,1260174.5
Mobile phones,,1992,1510156.2
Mobile phones,,1993,2269649
Mobile phones,,1994,3939662.5
Mobile phones,,1995,5750401
Mobile phones,,1996,7250246.5
Mobile phones,,1997,8856359
Mobile phones,,1998,14989805
Mobile phones,,1999,27191958
Personal computers,,1985,2103127
Personal computers,,1986,2702459.8
Personal computers,,1987,3406515.8
Personal computers,,1988,4296852.5
Personal computers,,1989,5196176
Personal computers,,1990,6195866
Personal computers,,1991,7201142.5
Personal computers,,1992,8401009
Personal computers,,1993,9598605
Personal computers,,1994,9899120
Personal computers,,1995,11821416
Personal computers,,1996,12700644
Personal computers,,1997,14126164
Personal computers,,1998,15995888
Personal computers,,1999,17999052
Private cars,,1904,7854.773
Private cars,,1905,15709.546
Private cars,,1906,22582.475
Private cars,,1907,31419.092
Private cars,,1908,40255.715
Private cars,,1909,47128.64
Private cars,,1910,52037.87
Private cars,,1911,70692.96
Private cars,,1912,86402.51
Private cars,,1913,104075.74
Private cars,,1914,129603.76
Private cars,,1915,136476.69
Private cars,,1916,139422.22
Private cars,,1917,108003.13
Private cars,,1918,76584.04
Private cars,,1919,108003.13
Private cars,,1920,183605.33
Private cars,,1921,238588.75
Private cars,,1922,309281.72
Private cars,,1923,377029.12
Private cars,,1924,465395.3
Private cars,,1925,569471.06
Private cars,,1926,671583.1
Private cars,,1927,772713.3
Private cars,,1928,868934.25
Private cars,,1929,963191.56
Private cars,,1930,1036830.06
Private cars,,1931,1063340
Private cars,,1932,1107523.1
Private cars,,1933,1181161.5
Private cars,,1934,1284255.4
Private cars,,1935,1450187.5
Private cars,,1936,1613174.1
Private cars,,1937,1765360.2
Private cars,,1938,1908710
Private cars,,1939,1997076
Private cars,,1940,1397167.9
Private cars,,1941,1475715.6
Private cars,,1942,842424.44
Private cars,,1943,704965.9
Private cars,,1944,741294.25
Private cars,,1945,1460006
Private cars,,1946,1737868.5
Private cars,,1947,1908710
Private cars,,1948,1925401.2
Private cars,,1949,2092315.1
Private cars,,1950,2217009.8
Private cars,,1951,2336795.2
Private cars,,1952,2462471.5
Private cars,,1953,2711860.2
Private cars,,1954,3043724.5
Private cars,,1955,3461991.2
Private cars,,1956,3817420
Private cars,,1957,4110992.2
Private cars,,1958,4466420.5
Private cars,,1959,4875850.5
Private cars,,1960,5425684.5
Private cars,,1961,5870461
Private cars,,1962,6436987
Private cars,,1963,7241119
Private cars,,1964,8097289.5
Private cars,,1965,8755127
Private cars,,1966,9340308
Private cars,,1967,10115966
Private cars,,1968,10619653
Private cars,,1969,11026138
Private cars,,1970,11305964
Private cars,,1971,11840089
Private cars,,1972,12486144
Private cars,,1973,13251984
Private cars,,1974,13391406
Private cars,,1975,13497446
Private cars,,1976,13792000
Private cars,,1978,13801000
Private cars,,1979,14307000
Private cars,,1980,14772000
Private cars,,1981,14943000
Private cars,,1982,15303000
Private cars,,1983,15543000
Private cars,,1984,16055000
Private cars,,1985,16454000
Private cars,,1986,16981000
Private cars,,1987,17421000
Private cars,,1988,18432000
Private cars,,1989,19248000
Private cars,,1990,19742000
Private cars,,1991,19737000
Private cars,,1992,19870000
Private cars,,1993,20102000
Private cars,,1994,20418056
Private cars,,1995,20443978
Private cars,,1996,21108994
Private cars,,1997,21815882
Private cars,,1998,22049188
Railway freight traffic (metric ton-km),,1920,31400000000
Railway freight traffic (metric ton-km),,1921,21700000000
Railway freight traffic (metric ton-km),,1922,27500000000
Railway freight traffic (metric ton-km),,1923,31000000000
Railway freight traffic (metric ton-km),,1924,31200000000
Railway freight traffic (metric ton-km),,1925,30000000000
Railway freight traffic (metric ton-km),,1926,23000000000
Railway freight traffic (metric ton-km),,1927,23100000000
Railway freight traffic (metric ton-km),,1928,29000000000
Railway freight traffic (metric ton-km),,1929,30800000000
Railway freight traffic (metric ton-km),,1930,29100000000
Railway freight traffic (metric ton-km),,1931,26700000000
Railway freight traffic (metric ton-km),,1932,24400000000
Railway freight traffic (metric ton-km),,1933,24600000000
Railway freight traffic (metric ton-km),,1934,26500000000
Railway freight traffic (metric ton-km),,1935,26800000000
Railway freight traffic (metric ton-km),,1936,28500000000
Railway freight traffic (metric ton-km),,1937,30100000000
Railway freight traffic (metric ton-km),,1938,26600000000
Railway freight traffic (metric ton-km),,1942,39000000000
Railway freight traffic (metric ton-km),,1943,39800000000
Railway freight traffic (metric ton-km),,1944,40000000000
Railway freight traffic (metric ton-km),,1945,36000000000
Railway freight traffic (metric ton-km),,1946,33700000000
Railway freight traffic (metric ton-km),,1947,33050000000
Railway freight traffic (metric ton-km),,1948,35400000000
Railway freight traffic (metric ton-km),,1949,36000000000
Railway freight traffic (metric ton-km),,1950,36200000000
Railway freight traffic (metric ton-km),,1951,37400000000
Railway freight traffic (metric ton-km),,1952,36600000000
Railway freight traffic (metric ton-km),,1953,37200000000
Railway freight traffic (metric ton-km),,1954,36100000000
Railway freight traffic (metric ton-km),,1955,34900000000
Railway freight traffic (metric ton-km),,1956,35100000000
Railway freight traffic (metric ton-km),,1957,34100000000
Railway freight traffic (metric ton-km),,1958,30100000000
Railway freight traffic (metric ton-km),,1959,29000000000
Railway freight traffic (metric ton-km),,1960,30500000000
Railway freight traffic (metric ton-km),,1961,28800000000
Railway freight traffic (metric ton-km),,1962,26300000000
Railway freight traffic (metric ton-km),,1963,25200000000
Railway freight traffic (metric ton-km),,1964,26200000000
Railway freight traffic (metric ton-km),,1965,25200000000
Railway freight traffic (metric ton-km),,1966,24200000000
Railway freight traffic (metric ton-km),,1967,22300000000
Railway freight traffic (metric ton-km),,1968,24000000000
Railway freight traffic (metric ton-km),,1969,25300000000
Railway freight traffic (metric ton-km),,1970,26800000000
Railway freight traffic (metric ton-km),,1971,24300000000
Railway freight traffic (metric ton-km),,1972,23400000000
Railway freight traffic (metric ton-km),,1973,25500000000
Railway freight traffic (metric ton-km),,1974,24200000000
Railway freight traffic (metric ton-km),,1975,23500000000
Railway freight traffic (metric ton-km),,1976,23100000000
Railway freight traffic (metric ton-km),,1977,22800000000
Railway freight traffic (metric ton-km),,1978,20000000000
Railway freight traffic (metric ton-km),,1979,19900000000
Railway freight traffic (metric ton-km),,1980,17600000000
Railway freight traffic (metric ton-km),,1981,17500000000
Railway freight traffic (metric ton-km),,1982,15900000000
Railway freight traffic (metric ton-km),,1983,17100000000
Railway freight traffic (metric ton-km),,1984,12700000000
Railway freight traffic (metric ton-km),,1985,15400000000
